source,target,weight
2,19,0.11445340298275603
2,20,0.10929099441183293
2,22,0.4604804572412308
2,26,0.16298958983224526
2,31,0.35432778609093846
2,32,0.11760529156144242
2,33,0.20590344362965593
2,38,0.14276353754702922
2,43,0.16475393934352164
2,45,0.1888916339619587
2,48,0.10984691898929477
2,51,0.16208749762509658
2,53,0.2703931732903826
2,54,0.12557820873566525
2,57,0.19225562483654265
2,58,0.1700749841618516
2,63,0.10644407814511063
2,64,0.4184694311964746
2,65,0.35264828331805637
2,66,0.19467475797713243
2,67,0.2235619459310963
2,68,0.1421831252783631
2,71,0.11575731796947683
2,74,0.22618188404084255
2,77,0.3490799507756288
2,81,0.4503929534460163
2,82,0.13572451973181116
2,86,0.16157847724783286
2,87,0.1368628090234788
2,88,0.11902007514718366
2,92,0.11984660445940072
2,94,0.15007492910121795
2,96,0.11408101837058482
2,103,0.14588862636800443
2,105,0.2439510416955699
2,106,0.1121991954426516
2,107,0.11458730359618989
2,108,0.12651967130256583
2,109,0.14457999083260165
2,110,0.20717474757697488
2,113,0.11870479874264625
2,114,0.23607654850061993
2,115,0.22157400087514553
2,116,0.1517173340819801
2,117,0.4127290162226692
2,119,0.35256056253749984
2,120,0.14014053544733493
2,121,0.2834667134773264
2,123,0.11653231031811065
2,126,0.31765224535275405
2,127,0.25648097598635017
2,135,0.5672155880905811
2,136,0.11461011137797966
2,141,0.15195578129251108
2,142,0.11743342653521557
2,144,0.45781584591264274
2,148,0.20119774852004352
2,150,0.2637705918025673
2,151,0.22297244036377
2,155,0.10940158349150071
2,159,0.16935490150613583
2,160,0.13602433226375601
2,163,0.16652030733171697
2,169,0.13575453801949725
2,170,0.12300065110139749
2,175,0.11164058059879266
2,176,0.25992459121005296
2,177,0.17015061132625495
2,178,0.17858509068611395
2,179,0.10388434514007978
2,180,0.11554335097265288
2,182,0.5334066307851035
2,183,0.38472164028248185
2,185,0.12504707376212612
2,186,0.13262986380507458
2,193,0.32193716106321807
